Train_Size,Train_F1_Mean,Train_F1_Std,Val_F1_Mean,Val_F1_Std
2805,1.0,0.0,0.9747436785060746,0.004751121860004534
5610,1.0,0.0,0.9851758971080511,0.005406461021800523
8415,1.0,0.0,0.9888973036910021,0.00556572085341946
11220,1.0,0.0,0.9926772299728552,0.0054710674506447034
14025,1.0,0.0,0.9945037526011067,0.00532941219605545
16830,1.0,0.0,0.9935820936149314,0.004655010622092114
19635,1.0,0.0,0.9935820936149314,0.004655010622092114
22440,1.0,0.0,0.9944869572570075,0.0034304682351792948
25245,1.0,0.0,0.9944869572570075,0.0034304682351792948
28050,1.0,0.0,0.9944869572570075,0.0034304682351792948
