Feature,Value,Mean_Score
Dust_mgm3_raw,16.445679,0.438603
Dust_mgm3_raw,16.754711,0.438769
Dust_mgm3_raw,17.063743,0.439624
Dust_mgm3_raw,17.372775,0.440282
Dust_mgm3_raw,17.681807,0.440903
Dust_mgm3_raw,17.990839,0.441475
Dust_mgm3_raw,18.299871,0.441864
Dust_mgm3_raw,18.608903,0.444102
Dust_mgm3_raw,18.917935,0.444212
Dust_mgm3_raw,19.226967,0.444966
Dust_mgm3_raw,19.535999,0.446193
Dust_mgm3_raw,19.845031,0.447485
Dust_mgm3_raw,20.154063,0.447671
Dust_mgm3_raw,20.463095,0.449884
Dust_mgm3_raw,20.772127,0.454181
Dust_mgm3_raw,21.081159,0.453622
Dust_mgm3_raw,21.390191,0.456761
Dust_mgm3_raw,21.699223,0.457394
Dust_mgm3_raw,22.008255,0.461171
Reheater_desuperheating_water_flow_th_raw,1.044236,0.461868
Reheater_desuperheating_water_flow_th_raw,1.113358,0.458888
Reheater_desuperheating_water_flow_th_raw,1.18248,0.456746
Reheater_desuperheating_water_flow_th_raw,1.251602,0.454242
Reheater_desuperheating_water_flow_th_raw,1.320723,0.454264
Reheater_desuperheating_water_flow_th_raw,1.389845,0.451406
Reheater_desuperheating_water_flow_th_raw,1.458967,0.451166
Reheater_desuperheating_water_flow_th_raw,1.528089,0.449183
Reheater_desuperheating_water_flow_th_raw,1.597211,0.447418
Reheater_desuperheating_water_flow_th_raw,1.666333,0.445504
Reheater_desuperheating_water_flow_th_raw,1.735455,0.443358
Reheater_desuperheating_water_flow_th_raw,1.804576,0.442071
Reheater_desuperheating_water_flow_th_raw,1.873698,0.441539
Reheater_desuperheating_water_flow_th_raw,1.94282,0.44133
Reheater_desuperheating_water_flow_th_raw,2.011942,0.440805
Reheater_desuperheating_water_flow_th_raw,2.081064,0.438818
Reheater_desuperheating_water_flow_th_raw,2.150186,0.438704
Reheater_desuperheating_water_flow_th_raw,2.219308,0.438231
Reheater_desuperheating_water_flow_th_raw,2.28843,0.436512
Reheater_desuperheating_water_flow_th_raw,2.357551,0.437976
Reheater_desuperheating_water_flow_th_raw,2.426673,0.437939
Reheater_desuperheating_water_flow_th_raw,2.495795,0.437611
Reheater_desuperheating_water_flow_th_raw,2.564917,0.435391
Reheater_desuperheating_water_flow_th_raw,2.634039,0.436735
Reheater_desuperheating_water_flow_th_raw,2.703161,0.436494
Reheater_desuperheating_water_flow_th_raw,2.772283,0.43694
Reheater_desuperheating_water_flow_th_raw,2.841405,0.437378
Reheater_desuperheating_water_flow_th_raw,2.910526,0.436422
Reheater_desuperheating_water_flow_th_raw,2.979648,0.437041
Reheater_desuperheating_water_flow_th_raw,3.04877,0.437107
Reheater_desuperheating_water_flow_th_raw,3.117892,0.43784
Reheater_desuperheating_water_flow_th_raw,3.187014,0.43922
Reheater_desuperheating_water_flow_th_raw,3.256136,0.438542
Reheater_desuperheating_water_flow_th_raw,3.325258,0.439622
Reheater_desuperheating_water_flow_th_raw,3.39438,0.439674
Reheater_desuperheating_water_flow_th_raw,3.463501,0.440892
Reheater_desuperheating_water_flow_th_raw,3.532623,0.441675
Reheater_desuperheating_water_flow_th_raw,3.601745,0.442125
Reheater_desuperheating_water_flow_th_raw,3.670867,0.442562
Reheater_desuperheating_water_flow_th_raw,3.739989,0.443221
Reheater_desuperheating_water_flow_th_raw,3.809111,0.444801
Reheater_desuperheating_water_flow_th_raw,3.878233,0.445557
Reheater_desuperheating_water_flow_th_raw,3.947355,0.446246
Reheater_desuperheating_water_flow_th_raw,4.016476,0.446918
Reheater_desuperheating_water_flow_th_raw,4.085598,0.449372
Reheater_desuperheating_water_flow_th_raw,4.15472,0.451216
Reheater_desuperheating_water_flow_th_raw,4.223842,0.453365
Reheater_desuperheating_water_flow_th_raw,4.292964,0.455363
Reheater_desuperheating_water_flow_th_raw,4.362086,0.457321
Reheater_desuperheating_water_flow_th_raw,4.431208,0.461415
