Optimizer,Train_Time_s,Train_Loss,Val_Loss,Train_Acc,Val_Acc,Overfit
Adam,14.15,1.381285,1.216981,0.524114,0.011487,0.512627
AdamW,11.09,1.383386,0.7925,0.484728,0.011487,0.473241
SGD,7.09,1.394672,0.629353,0.575108,0.764392,-0.189284
RMSprop,8.96,1.389096,0.375188,0.472663,0.988513,-0.51585
Nadam,15.1,1.391472,0.530379,0.479794,0.988513,-0.50872
