Epoch,train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall
1,1.6626403331756592,0.07613196223974228,0.48806434869766235,0.9885134100914001,0.015044297091662884,0.0,0.49723756313323975,0.0
2,1.5363999605178833,0.15478457510471344,0.48495563864707947,0.9885134100914001,0.015918638557195663,0.0,0.530386745929718,0.0
3,1.4776475429534912,0.5236579775810242,0.49208566546440125,0.7220515608787537,0.015544332563877106,0.010789602994918823,0.510128915309906,0.25581395626068115
4,1.4462358951568604,0.06509630382061005,0.4785101115703583,0.9885134100914001,0.014768624678254128,0.0,0.49723756313323975,0.0
5,1.4245284795761108,0.2077222466468811,0.48090580105781555,0.9885134100914001,0.014836795628070831,0.0,0.49723756313323975,0.0
6,1.4036791324615479,0.11307638883590698,0.4867238998413086,0.9885134100914001,0.015274383127689362,0.0,0.5064456462860107,0.0
7,1.3946101665496826,0.1617244929075241,0.4776259958744049,0.9885134100914001,0.014213087037205696,0.0,0.47882136702537537,0.0
8,1.3803240060806274,0.1878591775894165,0.49242791533470154,0.9885134100914001,0.016098272055387497,0.0,0.5285451412200928,0.0
9,1.3842484951019287,0.20137563347816467,0.4547813832759857,0.9885134100914001,0.01493784599006176,0.0,0.5267034769058228,0.0
10,1.3907909393310547,0.06529548019170761,0.45968684554100037,0.9885134100914001,0.014151441864669323,0.0,0.49355432391166687,0.0
11,1.374830722808838,0.10799086838960648,0.42805805802345276,0.9885134100914001,0.014675886370241642,0.0,0.5432780981063843,0.0
12,1.377189040184021,0.3151606023311615,0.4277443587779999,0.9885134100914001,0.015198172070086002,0.0,0.5635359287261963,0.0
13,1.378944754600525,0.6886481046676636,0.43507400155067444,0.43288367986679077,0.014955435879528522,0.013108613900840282,0.5469613075256348,0.6511628031730652
14,1.380519151687622,0.1031561940908432,0.41998687386512756,0.9885134100914001,0.014567392878234386,0.0,0.5469613075256348,0.0
15,1.3766900300979614,0.7526185512542725,0.3838804364204407,0.1772405505180359,0.015193370170891285,0.012050128541886806,0.6077347993850708,0.8720930218696594
16,1.369217872619629,0.3136129379272461,0.39528846740722656,0.9885134100914001,0.015887150540947914,0.0,0.6243094205856323,0.0
17,1.373356819152832,0.27925190329551697,0.3723583221435547,0.9885134100914001,0.01500361505895853,0.0,0.6114180684089661,0.0
18,1.3681507110595703,0.07749691605567932,0.38293927907943726,0.9885134100914001,0.015660161152482033,0.0,0.6279926300048828,0.0
19,1.3766021728515625,0.33510082960128784,0.41202977299690247,0.9885134100914001,0.014793328940868378,0.0,0.5635359287261963,0.0
20,1.370301365852356,0.5777869820594788,0.3966003954410553,0.9885134100914001,0.0156484954059124,0.0,0.6132596731185913,0.0
21,1.3677338361740112,0.3131897747516632,0.37070417404174805,0.9885134100914001,0.015750156715512276,0.0,0.6445671916007996,0.0
22,1.3718628883361816,0.3709932863712311,0.38234037160873413,0.9885134100914001,0.015689512714743614,0.0,0.6298342347145081,0.0
23,1.3718020915985107,0.32216164469718933,0.3918945789337158,0.9885134100914001,0.0150305749848485,0.0,0.5930018424987793,0.0
24,1.372822642326355,0.4293595850467682,0.4014773368835449,0.9885134100914001,0.014948037452995777,0.0,0.580110490322113,0.0
