Model,Train_Time_s,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
AdaBoost,27.501,0.999733,1.0,0.976744,0.988235,0.99998,0.997605
GradientBoosting,76.175,0.999332,0.965517,0.976744,0.971098,0.999975,0.998077
DecisionTree,1.392,0.999065,0.934066,0.988372,0.960452,0.994177,0.987739
RandomForest,2.412,0.99813,1.0,0.837209,0.911392,0.999982,0.998364
Logistic,0.228,0.825698,0.048853,0.767442,0.091858,0.891212,0.105594
Dummy_MostFrequent,0.073,0.988513,0.0,0.0,0.0,0.5,0.011487
ExtraTrees,0.499,0.988513,0.0,0.0,0.0,0.989364,0.935191
