Feature,VIF,Status
APH_Leakage__raw,5.517198,MEDIUM
CO_mgm3_raw,6.23369,MEDIUM
Dust_mgm3_raw,7.517753,MEDIUM
Reheater_desuperheating_water_flow_th_raw,6.391738,MEDIUM
