,Normal_Mean,Anomaly_Mean,Difference,Diff_Pct
APH_Leakage_,2.1934998769137697,1.004081470345186,-1.1894184065685838,54.22468535726943
CO_mgm3,261.90359838671264,197.69476290062065,-64.208835486092,24.516209735799322
Reheater_desuperheating_water_flow_th,2.750707234814806,2.2224496632964548,-0.5282575715183513,19.20442731354203
Dust_mgm3,14.491189577162205,13.907538089241358,-0.5836514879208465,4.027629925155823
SO2_mgm3,437.484050230692,438.60757038907656,1.123520158384565,0.25681397019894003
Feedwater_temperature_,235.27744093389373,235.80875558497723,0.5313146510835054,0.22582473227120392
O2_Out_APH_,5.109691850928328,5.1182929895628915,0.00860113863456391,0.1683298892672218
Pressure_Kpa,-0.2424773091917816,-0.2428519465569592,-0.0003746373651775936,0.15450409212570204
Temp_C,94.62621839412687,94.75114358022974,0.12492518610287107,0.13201963284905482
Boiler_oxygen_level_,4.73276459399373,4.7381087557851,0.00534416179136965,0.11291839442324754
Flue_gas_temperature_,122.96069395910496,123.07332761405395,0.11263365494899347,0.0916013494413539
NTHR_KcalKwh,2539.7914574231954,2537.831112846849,-1.9603445763464151,0.07718525749887073
Corrected_Flue_Gas_Out_Temperature_C,124.93421292284545,124.84908271896683,-0.08513020387862014,0.06814002496753492
O2_in_APH_,4.732886470992782,4.735681314537696,0.002794843544913661,0.059051565298320105
Refference_Temperature_C,31.97589310515744,31.993951994103803,0.018058888946363538,0.0564765740458733
NPHR_KcalKwh,2711.0931626717593,2709.5925479097127,-1.5006147620465526,0.05535091094279141
Circulating_water_outlet_temperature_,35.79548234832267,35.782032439220245,-0.013449909102426716,0.0375743200539857
Cold_Reheat_Pressure_Mpa,2.1912797350424467,2.190493730153208,-0.000786004889238523,0.0358696736281047
Flue_Gas_in_Temperature_C,355.9907642845264,356.1180488851924,0.1272846006660302,0.03575502890414812
Velocity_ms,11.824999919014164,11.828773619129425,0.003773700115260681,0.03191289759920176
Main_steam_pressure_turbine_side_MPa,14.184588118868612,14.180781408944139,-0.00380670992447385,0.02683694367840044
Superheater_desuperheating_water_flow_th,81.62396583056305,81.60374593612185,-0.02021989444119754,0.024772006892155266
Control_stage_pressure_Mpa,10.444162579477924,10.44660995409575,0.0024473746178266254,0.023432942557171137
Main_steam_pressure_boiler_side_Mpa,14.271699665487086,14.27498056571839,0.003280900231304784,0.02298885422343148
CO2_ppm,97845.2035681402,97823.86372724075,-21.33984089945443,0.021809797640814543
O2_,6.581069550054773,6.58237232267408,0.0013027726193071132,0.019795758263886916
Gross_Load_MW,296.3483827161719,296.4008683478693,0.05248563169737963,0.01771078728904278
High_exhaust_pressure_Mpa,2.191591498909568,2.1912867018449207,-0.00030479706464747736,0.013907567391054853
Nett_Load_MW,280.048381994678,280.0866774378517,0.03829544317369482,0.013674581120923094
Nox_mgm3,194.16852274261026,194.19465671814118,0.026133975530910902,0.013459429552108243
Flow_rate_KNm3h,455.04132088145366,455.10238709332265,0.061066211868990194,0.013419926733400773
Feedwater_pressure_MPa,15.576847778329629,15.578889498604248,0.002041720274618797,0.013107403395565178
HP_Turbine_eff_,80.77627436044158,80.7866196821605,0.010345321718929767,0.012807376671975063
APH_Effectiveness_,71.31762727821234,71.31021459297622,-0.007412685236118932,0.010393903329399632
Main_steam_flow_th,830.1388357998699,830.2223457053616,0.08350990549172366,0.010059751681326744
HHV_KcalKg,4253.54879357076,4253.92595348862,0.377159917859899,0.008866947016805739
ΔP_aktual_KjKg,442.0179469438923,441.97964085241034,-0.03830609148195663,0.008666184653090348
ΔHP_isentropis_KjKg,547.201113306128,547.2443009707531,0.043187664625065736,0.007892466512747148
Reheat_steam_pressure_turbine_side_MPa,1.964033774630164,1.9638924551450585,-0.0001413194851054289,0.007195369393891406
Main_steam_temperature_turbine_side_,565.0042735221608,565.0417300347475,0.037456512586686586,0.0066294211109568625
Feedwater_flow_th,833.8281847784167,833.7898010480031,-0.038383730413556805,0.004603314101664359
Reheat_steam_temperature_turbine_side_,565.5921312518208,565.5706662093158,-0.021465042504928533,0.003795145179516574
Main_steam_temperature_boiler_side_,567.2026093706893,567.2205914214119,0.017982050722594067,0.0031703046540186293
Reheat_steam_temperature_boiler_side_,565.599455081114,565.6156529352984,0.016197854184383687,0.002863838364565028
Boiler_Eff_,93.67409440275081,93.67188470311257,-0.0022096996382430234,0.0023589228722537122
Coal_Flow_th,167.23529526293012,167.2313986246214,-0.003896638308731326,0.002330033443361921
Cold_Reheat_Temperature_C,318.4957822045491,318.48957661716867,-0.006205587380406996,0.0019484048854441507
Entropi_Inlet_MS_KjKg_Deg_C,6.608149273646268,6.608024467108025,-0.0001248065382437602,0.0018886761342013995
Entalphy_Cold_Reheat_kjkg,3061.861563869067,3061.803915286963,-0.05764858210432067,0.001882795185275263
Entalphy_Isentropis_Cold_Reheat_kjkg,2956.663948672062,2956.612847663577,-0.05110100848469301,0.00172833333012513
Energy_Input_From_Boiler_Kcalh,711205133.4696838,711213280.5672247,8147.097540974617,0.001145534130389105
Condenser_vacuum_kPa,-92.8761022979843,-92.8750541739651,0.0010481240192063979,0.0011285185244354783
Entalphy_inlet_MS_kjkg,3503.868696029933,3503.8323409185296,-0.036355111403281626,0.0010375705985921754
Opacity_,49.69966782664949,49.6993301601953,-0.00033766645418609187,0.0006794139054688642
