,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,cv
Main_steam_flow_th,50091.0,830.1400961757569,4.654704036504768,817.50869618832,826.9731026200279,830.1317813179394,833.2827069078332,842.7471133395412,0.007626368018205254,-0.16628118063011899,0.00560713072160687
Main_steam_temperature_boiler_side_,50091.0,567.2028807653579,0.5515274383669702,565.7086967650619,566.8289812210533,567.2042397461116,567.5758375250475,568.6961219810389,0.006832438254264246,-0.15272357444328044,0.0009723636058102596
Main_steam_pressure_boiler_side_Mpa,50091.0,14.271749182577478,0.1172039539433745,13.952557282422312,14.19161928383494,14.271980824050637,14.35099395144336,14.590055952855993,0.012596250064017623,-0.1511792686792912,0.008212304773857261
Reheat_steam_temperature_boiler_side_,50091.0,565.5996995477399,0.47423175773493265,564.3096349952298,565.2769759149498,565.6006891334428,565.9218698614299,566.8892107811498,-0.00494890126259658,-0.1605244759538178,0.0008384582914632626
Superheater_desuperheating_water_flow_th,50091.0,81.6236606611674,5.8126328326450745,65.95099445224002,77.72788113451202,81.60937184675393,85.57913892269335,97.35602560496534,-0.007823547930352037,-0.15363262007815148,0.07121259675885186
Reheater_desuperheating_water_flow_th,50091.0,2.742734490727687,1.0052924354443145,-0.002390775576218,2.054897910461968,2.7431242948418584,3.426423701154092,5.483712387192278,0.010337165565782649,-0.17376835974459626,0.36652925714934803
Feedwater_temperature_,50091.0,235.28545981705074,4.473695665056274,223.05650142895607,232.20484335122882,235.25103582408104,238.30373796607728,247.45207988835,0.030775993719350993,-0.15058860570868005,0.019013906207952052
Feedwater_flow_th,50091.0,833.8276054707529,7.453239405303906,813.6470960372374,828.7957277642837,833.8232406592994,838.8948155823145,854.0434473093608,-0.0149680494436353,-0.1525463302887191,0.008938585573808198
Flue_gas_temperature_,50091.0,122.96239388610066,1.1550197045963853,119.82941116699163,122.17946071995769,122.96095154556802,123.74616042193506,126.09620997490111,0.005772387300093902,-0.17520549450326772,0.009393276009787782
Boiler_oxygen_level_,50091.0,4.7328452509244014,0.12420374207407243,4.394190099519527,4.648016865186397,4.732442904830787,4.817234708964311,5.071061474631183,0.009305202929229033,-0.19471725343156843,0.026242933265103782
Main_steam_temperature_turbine_side_,50091.0,565.0048388357604,0.60162697712231,563.3827600727502,564.6009733084186,565.003014895454,565.4131154655308,566.6313287011992,-0.008666980380162037,-0.14581162125184877,0.0010648173887537185
Main_steam_pressure_turbine_side_MPa,50091.0,14.184530665978816,0.11864207255264202,13.86124930062962,14.103732561997084,14.18444222895942,14.265388069575394,14.50787133094286,0.011782490320693888,-0.1648651523083413,0.008364187391635141
Reheat_steam_temperature_turbine_side_,50091.0,565.5918072899887,0.4764131894323838,564.3056733314262,565.271606547569,565.5886942294687,565.9155620249976,566.8814952411404,-0.00018232387809198256,-0.15629011473729904,0.0008423268924546472
Reheat_steam_pressure_turbine_side_MPa,50091.0,1.9640316417613708,0.011213911298998427,1.9334580445023664,1.9564133993067834,1.964056800527989,1.9717169691763945,1.994672323980811,-0.009317809282214212,-0.16105208122263726,0.005709638816685069
Control_stage_pressure_Mpa,50091.0,10.444199516556662,0.07367961245658641,10.244209697780008,10.394162966985737,10.4445811936783,10.494131813122891,10.644085082328624,-0.003674640924842409,-0.1548734351839327,0.007054596413998588
High_exhaust_pressure_Mpa,50091.0,2.1915868987502405,0.012144608947553771,2.1586317963214414,2.183372151043911,2.1916027782107976,2.1998657208588908,2.2246060755813604,0.0006782882157619038,-0.1796689788284529,0.005541468127263981
Feedwater_pressure_MPa,50091.0,15.576878593057378,0.11231343854256251,15.272125135128263,15.500861186144874,15.577262660345593,15.653351886822614,15.882087937839223,-0.01003084802109712,-0.15688424894167374,0.00721026602804882
Condenser_vacuum_kPa,50091.0,-92.87608647913943,0.23819671662647512,-93.523781050636,-93.03761000695567,-92.87833620767933,-92.71349597783546,-92.22732493415516,0.019894727174221846,-0.17599592590985047,0.002564672195570769
Circulating_water_outlet_temperature_,50091.0,35.79527935514463,0.18757031774444474,35.28517343430107,35.66836346962605,35.794108120536784,35.92382349317604,36.30701352850102,0.003921340255091092,-0.17280436924414877,0.005240085316375285
