Metric,Value
Original Shape,50091 x 55
Final Shape,50091 x 109
Original Missing,0
Final Missing,0
Memory (MB),41.66
Numeric Columns,108
Non-Numeric Columns,1
Processing Date,2026-09-16 11:58:08
